Id,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,CO2 Emissions(g/km),City,HighWay,Combination
1,16.0,11.0,1.5,4.0,21.0,3.0,208,11.9,7.2,9.8
2,20.0,5.0,2.9777784042058384,6.0,2.0,3.0,325,13.79,9.7,11.96
3,15.0,0.0,2.0,4.0,13.0,3.0,170,10.2,7.3,8.89
4,4.0,15.0,2.9777784042058384,8.0,3.0,3.0,362,17.3,11.7,14.78
5,20.0,0.0,1.8,4.0,23.0,3.0,180,8.1,7.9,8.01
6,5.0,2.0,2.4,4.0,3.0,3.0,216,11.3,8.0,9.81
7,2.0,0.0,2.0,5.292000277527232,23.0,4.0,201,12.544509425422014,8.1,8.59
8,14.0,2.0,3.5,6.0,13.0,3.0,221,12.0,9.9,11.05
9,11.0,11.0,2.4,4.0,13.0,3.0,243,13.9,9.137623176401432,11.013572964095445
10,20.0,5.0,2.7,4.0,22.0,3.0,297,13.11,8.9,11.013572964095445
11,7.0,12.0,3.5,6.0,13.0,3.0,347,16.0,11.81,14.1
12,15.0,11.0,2.0,4.0,13.0,3.0,192,9.2,8.8,9.02
13,11.0,11.0,2.4,4.0,13.0,3.0,237,11.6,8.0,9.98
14,10.0,11.0,2.4,4.0,6.0,3.0,235,12.3,9.4,11.0
15,17.0,9.0,1.6,4.0,23.0,4.0,198,9.5,7.6,8.64
16,3.0,1.0,2.0,4.0,15.0,4.0,219,10.9,8.7,9.91
17,10.0,11.0,2.9777784042058384,5.292000277527232,6.0,3.0,225,10.9,8.7,9.91
18,16.0,0.0,1.2,3.0,17.0,3.0,167,7.9,7.9,7.9
19,8.0,2.0,2.9777784042058384,6.0,7.0,3.0,232,12.41,8.4,10.6
20,1.0,0.0,2.5,4.0,23.0,4.0,305,15.9,9.5,13.02
21,14.0,2.0,3.5,6.0,21.0,4.0,167,11.2,7.1,9.4
22,17.0,9.0,1.6,4.0,23.0,4.0,187,12.544509425422014,10.3,11.45
23,9.0,11.0,3.5,6.0,3.0,3.0,263,11.4,10.5,11.0
24,10.0,11.0,3.2,6.0,6.0,3.0,257,19.9,9.1,15.04
25,9.0,1.0,1.5,4.0,17.0,3.0,178,4.2,6.8,11.013572964095445
26,13.0,12.0,5.0,8.0,15.0,1.0,367,17.7,11.6,14.95
27,5.0,13.0,8.4,10.0,23.0,4.0,406,14.6,8.8,11.99
28,7.0,15.0,3.5,6.0,11.0,3.0,397,18.12,11.0,11.013572964095445
29,4.0,11.0,1.4,4.0,13.0,3.0,191,8.3,6.8,7.62
30,9.0,6.0,3.5,6.0,3.0,3.0,265,17.4,10.0,14.07
31,18.0,1.0,3.8,6.0,15.0,3.0,314,12.3,11.8,12.07
32,10.0,11.0,2.9777784042058384,4.0,23.0,3.0,213,9.1,8.7,8.9
33,10.0,11.0,2.4,4.0,6.0,3.0,217,8.6,7.6,11.013572964095445
34,5.0,1.0,6.2,8.0,5.0,4.0,494,20.2,9.137623176401432,18.4
35,8.0,11.0,2.0,4.0,15.0,3.0,223,14.3,9.5,12.1
36,16.0,0.0,2.0,4.0,7.0,4.0,311,14.0,7.3,10.98
37,11.0,2.0,1.8,4.0,23.0,3.0,196,9.5,7.9,8.78
38,15.0,0.0,2.9777784042058384,4.0,23.0,3.0,150,4.3,7.4,5.7
39,4.0,10.0,1.4,4.0,22.0,3.0,167,8.8,6.2,7.6
40,7.0,11.0,2.0,4.0,7.0,1.0,107,4.2,7.1,5.5
41,13.0,12.0,5.0,8.0,15.0,4.0,354,13.9,10.4,12.32
42,11.0,8.0,2.0,4.0,3.0,3.0,200,12.544509425422014,8.2,9.74
43,13.0,11.0,2.0,4.0,16.0,4.0,222,10.3,8.1,9.31
44,14.0,2.0,3.5,6.0,21.0,4.0,177,12.1,7.3,9.94
45,2.0,12.0,4.4,8.0,15.0,4.0,364,16.6,15.6,16.16
46,20.0,0.0,1.8,4.0,17.0,3.0,174,10.6,8.1,9.47
47,9.0,2.0,2.0,4.0,23.0,3.0,192,12.5,9.137623176401432,10.43
48,19.0,0.0,3.0,6.0,13.0,3.0,283,17.01,14.1,15.7
49,8.0,0.0,3.6,6.0,13.0,3.0,289,17.9,14.5,16.4
50,18.0,11.0,2.4,4.0,15.0,3.0,226,16.6,9.9,13.59
51,5.0,2.0,6.2,8.0,23.0,4.0,393,20.6,11.1,16.32
52,4.0,10.0,1.4,4.0,17.0,3.0,162,9.7,7.3,8.62
53,6.0,9.0,1.4,4.0,23.0,3.0,189,9.8,7.2,8.63
54,4.0,9.0,1.8,5.292000277527232,22.0,3.0,187,8.8,8.4,11.013572964095445
55,20.0,12.0,3.5,6.0,15.0,3.0,234,14.2,8.1,11.46
56,0.0,0.0,2.9777784042058384,4.0,9.0,3.0,190,8.5,6.7,7.69
57,2.0,10.0,3.0,6.0,8.0,4.0,320,15.6,10.4,13.26
58,20.0,2.0,1.8,4.0,17.0,3.0,126,7.2,5.5,6.44
59,19.0,8.0,2.0,4.0,15.0,4.0,223,13.0,8.4,10.93
60,5.0,2.0,5.7,8.0,23.0,3.0,342,13.7,9.4,11.013572964095445
61,3.0,1.0,2.9777784042058384,5.292000277527232,13.0,4.0,337,16.5,13.0,14.93
62,5.0,2.0,2.4,4.0,23.0,3.0,209,11.6,8.0,10.0
63,9.0,9.0,1.8,4.0,20.0,3.0,139,4.2,6.9,5.41
64,12.0,13.0,5.2,10.0,8.0,4.0,371,23.7,16.89,20.66
65,15.0,0.0,2.0,4.0,23.0,3.0,173,10.0,6.9,8.61
66,3.0,12.0,3.6,6.0,13.0,3.0,304,19.0,11.1,15.4
67,8.0,0.0,1.8,4.0,22.0,3.0,187,9.8,9.137623176401432,8.7
68,2.0,0.0,3.0,6.0,8.0,4.0,295,14.7,9.5,12.36
69,2.0,10.0,3.0,6.0,23.0,4.0,267,9.7,7.7,8.8
