NAMA DESA;IKS;IKE;IKL;IDM;Status
BANDAR DALAM;0,6171;0,1833;0,6667;0,489;0
KOTA JAWA;0,64;0,4667;0,6667;0,5911;1
PAGAR BUKIT;0,7086;0,3833;0,6667;0,5862;1
PAGAR BUKIT INDUK;0,6914;0,4333;0,6667;0,5971;1
PENYANDINGAN;0,6914;0,3167;0,6667;0,5583;1
SIRING GADING;0,6057;0,35;0,5333;0,4963;1
SUKA MARGA;0,72;0,3833;0,6667;0,59;1
SUKA NEGERI;0,6286;0,2667;0,6667;0,5206;1
SUMBEREJO;0,5543;0,35;0,8667;0,5903;1
TANJUNG KEMALA;0,6171;0,2833;0,5333;0,4779;0
TANJUNG REJO;0,6343;0,4;0,6667;0,567;1
WAY HARU;0,6057;0,35;0,6667;0,5408;1
WAY TIAS;0,6171;0,2;0,6667;0,4946;1
WAY NAPAL;0,6229;0,3667;0,6667;0,5521;1
BAMBANG;0,6857;0,4333;0,5333;0,5508;1
BANDAR PUGUNG;0,68;0,3;0,6;0,5267;1
CAHAYA NEGERI;0,6343;0,3833;0,6;0,5392;1
RATA AGUNG;0,6686;0,55;0,5333;0,584;1
TANJUNG JATI;0,6514;0,4;0,7333;0,5949;1
TANJUNG SAKTI;0,52;0,35;0,8;0,5567;1
BUMI RATU;0,7143;0,3833;0,6667;0,5881;1
PEKON MON;0,7314;0,4667;0,5333;0,5771;1
BANDAR JAYA;0,5486;0,55;0,6;0,5662;1
KOTA BATU;0,6171;0,3667;0,4;0,4613;0
MULANG MAYA;0,68;0,35;0,5333;0,5211;1
NEGERI RATU NGARAS;0,7086;0,3;0,5333;0,514;1
PADANG ALAM;0,6286;0,5;0,4667;0,5317;1
PARDASUKA;0,5943;0,3667;0,5333;0,4981;1
RAJABASA;0,5714;0,3833;0,2;0,3849;0
SUKA MAJU;0,7314;0,5667;0,3333;0,5438;1
SUKARAME;0,6514;0,4667;0,6667;0,5949;1
MARANG;0,6343;0,4667;0,4667;0,5225;1
NEGERI RATU TENUMBANG;0,4914;0,5167;0,7333;0,5805;1
SUKARAME;0,6629;0,3833;0,7333;0,5932;1
TANJUNG RAYA;0,6057;0,55;0,6;0,5852;1
TULUNG BAMBAN;0,6057;0,5333;0,5333;0,5575;1
ULOK MANIK;0,6171;0,5;0,6667;0,5946;1
BALAM;0,5886;0,3833;0,5333;0,5017;1
BATU RAJA;0,6171;0,35;0,5333;0,5002;1
GEDAU;0,5771;0,3667;0,8;0,5813;1
KERBANG DALAM;0,6114;0,3;0,3333;0,4149;0
KERBANG LANGGAR;0,6;0,3;0,7333;0,5444;1
KOTA KARANG;0,5086;0,4167;0,6667;0,5306;1
PADANG RINDU;0,6057;0,5;0,6667;0,5908;1
PEMANCAR;0,6286;0,3667;0,8;0,5984;1
BANDAR DALAM;0,68;0,3833;0,6667;0,5767;1
LABUHAN;0,7429;0,3833;0,6667;0,5976;1
PASAR PULAUPISANG;0,6629;0,4333;0,6667;0,5876;1
PEKON LOK;0,72;0,3167;0,6667;0,5678;1
SUKA MARGA;0,7086;0,2333;0,6667;0,5362;1
SUKADANA;0,6629;0,4333;0,5333;0,5432;1
BANJAR AGUNG;0,6971;0,4;0,6667;0,5879;1
BUMI WARAS;0,6629;0,4333;0,6;0,5654;1
GUNUNGKEMALA TIMUR;0,5543;0,4;0,5333;0,4959;1
LABUHAN MANDI;0,5086;0,4;0,6;0,5029;1
PAJAR BULAN;0,6743;0,4333;0,6;0,5692;1
ELARA;0,6286;0,3167;0,7333;0,5595;1
KAMPUNG BARU;0,6286;0,2167;0,6;0,4817;0
LUMOY;0,6171;0,4;0,4667;0,4946;1
MASAWOY;0,64;0,25;0,6;0,4967;1
SELASI;0,68;0,25;0,6;0,51;1
SIWAR;0,7029;0,3167;0,6;0,5398;1
ULIMA;0,7029;0,3833;0,4667;0,5176;1
FAKAL;0,5886;0,2833;0,6667;0,5129;1
MANGESWAEN;0,6343;0,2833;0,6667;0,5281;1
NUSARUA;0,6629;0,3;0,6667;0,5432;1
SIWATLAHIN;0,5314;0,3;0,6667;0,4994;1
TRUKAT;0,5314;0,2333;0,6667;0,4771;0
WAEKATIN;0,6571;0,3333;0,6;0,5302;1
WAELO;0,5143;0,2167;0,6;0,4437;0
WAEREMAN;0,5943;0,2833;0,6667;0,5148;1
AIR TERNATE;0,6343;0,3167;0,6667;0,5392;1
BALA-BALA;0,5429;0,2833;0,6667;0,4976;1
BATU LAYAR;0,6686;0,3;0,6667;0,5451;1
EMGUHEN;0,6057;0,25;0,6667;0,5075;1
FOGI;0,7257;0,3667;0,6667;0,5863;1
PASIR PUTIH;0,68;0,3833;0,6667;0,5767;1
SEKAT;0,5943;0,25;0,6667;0,5037;1
SIOPOT;0,6171;0,3167;0,5333;0,489;0
WAEHA;0,5314;0,3;0,6667;0,4994;1
WALBELE;0,6743;0,3667;0,6;0,547;1
ERWIRI;0,6629;0,3333;0,5333;0,5098;1
GRAHWAEN;0,4971;0,25;0,5333;0,4268;0
KASE;0,5486;0,2;0,6667;0,4717;0
LIANG;0,5657;0,25;0,6667;0,4941;1
MEPA;0,5886;0,25;0,6;0,4795;0
NEATH;0,6057;0,5167;0,5333;0,5519;1
SLEALALE;0,5143;0,2333;0,6667;0,4714;0
