iter	Logloss
0	0.6750426936
1	0.652423437
2	0.6322282605
3	0.6154285227
4	0.5951002984
5	0.5771266521
6	0.5699786055
7	0.5530992192
8	0.5383339772
9	0.5250514162
10	0.5190827196
11	0.5069629186
12	0.4966451359
13	0.4817164089
14	0.4716139809
15	0.4600045853
16	0.4549308513
17	0.447552058
18	0.4443775833
19	0.4222301346
20	0.4170561571
21	0.4094173074
22	0.4048272593
23	0.4023397152
24	0.3957587667
25	0.3919530864
26	0.3838494642
27	0.3709315047
28	0.3652387395
29	0.3631048291
30	0.3613950026
31	0.3590226893
32	0.3561276608
33	0.3537239193
34	0.3519721575
35	0.3403797922
36	0.3373720771
37	0.3294015495
38	0.3237194644
39	0.3194378331
40	0.3178871675
41	0.3118962769
42	0.3104821614
43	0.3091239605
44	0.3018266935
45	0.2993549029
46	0.2953595363
47	0.294078238
48	0.2926509894
49	0.2907840394
50	0.2899219259
51	0.2832696752
52	0.2821224641
53	0.2808956566
54	0.279951006
55	0.2751394221
56	0.2699173855
57	0.269280125
58	0.2674075638
59	0.2615534751
60	0.260791487
61	0.2602184702
62	0.2557778715
63	0.2549986323
64	0.2545441645
65	0.2531392931
66	0.2522443258
67	0.2496765854
68	0.249008067
69	0.2482793829
70	0.2479269159
71	0.2449216303
72	0.2436349939
73	0.2418051613
74	0.2405226391
75	0.2402206744
76	0.2388716037
77	0.2371942359
78	0.2347027592
79	0.2339165182
80	0.2331297869
81	0.2328795647
82	0.2325139977
83	0.2321688529
84	0.2313683446
85	0.2310844566
86	0.2290932486
87	0.2284340678
88	0.2279461959
89	0.2272655965
90	0.2269721478
91	0.2252623879
92	0.224405207
93	0.2236792631
94	0.2234739351
95	0.2233000123
96	0.2227289729
97	0.22208277
98	0.2207422495
99	0.2205207385
100	0.2203151839
101	0.2198014147
102	0.2190139692
103	0.2188584493
104	0.2168421032
105	0.2156944688
106	0.2145035298
107	0.2125635246
108	0.2123758565
109	0.2109566718
110	0.2106946826
111	0.210321543
112	0.2096527595
113	0.209476037
114	0.2091691702
115	0.2089420308
116	0.2084888374
117	0.2066893033
118	0.2056983654
119	0.2055618822
120	0.2053593476
121	0.2042833943
122	0.2038264576
123	0.2034744086
124	0.20332953
125	0.2020637165
126	0.2017931118
127	0.2015001046
128	0.2011565189
129	0.1997659723
130	0.1988827975
131	0.1987707454
132	0.1973126966
133	0.1965579567
134	0.1960764005
135	0.1951459379
136	0.1934393448
137	0.1933097226
138	0.192858313
139	0.1926311096
140	0.1924941558
141	0.1919354059
142	0.1915438897
143	0.1911428344
144	0.1908264359
145	0.1902647894
146	0.1901421853
147	0.1900134665
148	0.1889149004
149	0.1885519081
150	0.1874897299
151	0.1873105443
152	0.187182615
153	0.1868166713
154	0.1860065865
155	0.1857527519
156	0.1852435046
157	0.1846131613
158	0.1844241519
159	0.1843180507
160	0.1839466378
161	0.1830579572
162	0.1828483201
163	0.1821576472
164	0.1815969254
165	0.1809315316
166	0.1807025825
167	0.1805510062
168	0.1800226205
169	0.1796980577
170	0.1793159648
171	0.1791017072
172	0.1789141757
173	0.1787529452
174	0.1783832288
175	0.177754678
176	0.1773463313
177	0.1772004618
178	0.1771062327
179	0.1770120417
180	0.1764817841
181	0.176367156
182	0.1762648561
183	0.1760872689
184	0.1755341295
185	0.1754111416
186	0.1751876339
187	0.1747056731
188	0.1746215283
189	0.1739735305
190	0.173853434
191	0.1732721675
192	0.1726262418
193	0.1723729436
194	0.1722352107
195	0.171732602
196	0.1715784752
197	0.1711964286
198	0.1705477323
199	0.1704675632
200	0.170319894
201	0.1702180516
202	0.1701208317
203	0.1700101625
204	0.1699020071
205	0.1696686377
206	0.169387101
207	0.1685968955
208	0.168194536
209	0.1680993328
210	0.1676186767
211	0.1674948712
212	0.1663977901
213	0.1661734744
214	0.1660524835
215	0.1658084074
216	0.1657201785
217	0.1656156134
218	0.1655111125
219	0.1654051708
220	0.1648750088
221	0.1640602468
222	0.163878171
223	0.1637689604
224	0.1635312083
225	0.163447537
226	0.163276807
227	0.1626750453
228	0.1625593258
229	0.1620925783
230	0.1619828878
231	0.161743461
232	0.161639699
233	0.1615293932
234	0.1613224917
235	0.1612600998
236	0.1611675484
237	0.1611086164
238	0.1609194825
239	0.1607980069
240	0.1606116084
241	0.1603511185
242	0.1602670977
243	0.1601634376
244	0.1600294523
245	0.1597214073
246	0.1593933657
247	0.1593182622
248	0.1592278256
249	0.1591404576
250	0.159077665
251	0.158983464
252	0.1587491568
253	0.1586889335
254	0.1586049213
255	0.1585406248
256	0.1584637763
257	0.1584198129
258	0.1583684457
259	0.1582666008
260	0.1581689841
261	0.1580864402
262	0.1580042903
263	0.1577237765
264	0.1575457701
265	0.1574853491
266	0.157380216
267	0.1572202891
268	0.1571603666
269	0.1570922199
270	0.1570222854
271	0.1569586138
272	0.1568140384
273	0.1567182184
274	0.1566336604
