pm10,pm25,so2,co,o3,no2,target
38,53,29,6,31,13,1
27,46,27,7,47,7,0
44,58,25,7,40,13,1
30,48,24,4,32,7,0
38,53,24,6,31,9,1
41,58,23,13,46,13,1
35,47,22,6,39,10,0
37,54,26,16,17,10,1
47,61,16,27,22,12,1
23,25,16,11,33,8,0
38,54,17,14,27,10,1
29,50,20,12,26,15,0
34,44,17,13,20,9,0
36,57,15,15,26,13,1
42,62,14,15,32,12,1
52,73,15,17,25,14,1
52,71,17,15,26,14,1
40,52,16,11,26,12,1
31,41,13,12,25,12,0
35,34,12,12,22,13,0
43,51,13,14,28,15,1
49,63,14,14,28,15,1
72,108,14,43,44,20,2
33,48,12,14,23,10,0
56,82,13,29,62,15,1
52,70,14,19,28,13,1
20,20,13,10,19,8,0
27,41,14,18,17,11,0
30,53,16,17,24,11,1
27,37,13,16,24,12,0
36,51,13,16,26,10,1
38,58,2,11,65,6,1
51,67,12,27,80,12,1
24,39,13,10,59,14,1
35,54,13,12,68,13,1
27,51,15,7,77,15,1
33,44,13,10,68,7,1
28,49,11,6,65,11,1
42,60,11,14,65,12,1
49,71,13,10,67,9,1
55,75,16,10,93,10,1
35,49,13,5,78,9,1
31,42,11,6,58,9,1
42,45,11,6,72,6,1
46,44,12,9,67,13,1
51,60,12,8,67,16,1
73,108,14,43,104,19,2
51,59,12,9,75,7,1
62,86,14,26,134,14,2
54,76,26,14,71,12,1
21,29,25,7,63,5,1
28,49,25,10,53,7,1
28,49,26,7,65,9,1
27,39,25,10,64,8,1
38,55,24,11,68,7,1
43,56,15,10,33,5,1
58,86,15,22,38,5,1
64,93,14,20,35,5,1
50,67,13,15,17,4,1
59,89,15,19,42,7,1
52,81,18,28,52,11,1
22,52,16,12,44,5,1
26,68,21,22,40,9,1
25,77,17,32,31,8,1
15,33,16,7,23,4,0
26,47,16,6,39,3,0
29,78,20,14,40,8,1
24,82,19,16,64,6,1
70,92,19,16,60,7,1
58,86,22,11,43,9,1
51,64,21,7,38,5,1
42,56,19,7,37,6,1
84,112,20,33,57,10,2
89,126,19,42,64,13,2
64,90,19,31,34,10,1
60,95,18,23,67,8,1
54,79,18,15,50,7,1
33,37,17,5,30,4,0
26,49,16,9,26,5,0
28,16,17,9,48,4,0
46,13,16,10,41,4,0
59,79,21,26,15,31,1
30,46,21,14,16,24,0
23,33,19,11,14,19,0
36,53,23,14,12,24,1
29,36,20,14,12,21,0
27,34,21,8,21,15,0
25,23,19,7,19,12,0
24,26,19,10,18,17,0
33,40,22,12,14,22,0
32,38,21,10,12,16,0
26,37,23,13,9,17,0
41,52,26,16,10,16,1
25,37,20,9,19,16,0
33,47,18,11,19,19,0
34,47,20,13,17,25,0
26,28,18,11,18,26,0
39,57,23,23,12,33,1
43,59,29,13,12,29,1
29,41,19,20,12,23,0
30,38,18,11,18,20,0
31,45,18,10,16,17,0
51,67,20,18,11,23,1
50,64,22,11,20,23,1
30,42,22,10,9,16,0
31,48,26,12,14,17,0
29,38,18,13,18,20,0
49,67,23,15,17,31,1
43,60,19,12,19,18,1
64,87,38,16,46,25,1
30,42,38,4,55,15,1
24,35,38,4,42,15,0
33,50,39,7,47,15,0
25,35,39,5,45,13,0
33,50,39,6,47,16,0
34,46,39,4,49,10,0
33,49,43,6,35,11,0
43,62,43,14,33,11,1
27,47,38,8,40,11,0
34,53,40,11,42,14,1
36,52,39,13,37,17,1
28,41,38,11,42,15,0
41,61,40,25,41,27,1
40,55,44,10,41,16,1
32,51,42,16,41,20,1
31,34,38,8,53,9,1
36,40,39,9,48,9,0
60,69,42,15,41,19,1
48,61,40,9,54,17,1
30,39,40,10,33,10,0
30,45,43,12,45,12,0
59,71,44,15,50,20,1
66,76,40,14,60,18,1
73,110,28,18,26,18,2
53,70,25,10,27,14,1
32,53,27,6,24,9,1
29,54,26,11,24,13,1
27,51,24,10,24,12,1
34,53,24,8,32,12,1
33,50,24,9,30,13,0
26,42,24,9,35,12,0
33,53,25,9,23,12,1
50,64,24,11,23,10,1
38,57,23,6,18,7,1
63,98,25,13,20,8,1
59,89,26,12,30,13,1
55,73,25,11,35,13,1
40,62,24,9,32,12,1
36,51,24,9,34,15,1
46,67,26,15,28,18,1
53,70,28,8,26,12,1
28,51,25,13,23,14,1
45,59,25,13,29,15,1
29,42,24,7,30,9,0
68,103,26,22,30,14,2
66,90,26,12,29,16,1
27,54,25,6,24,7,1
41,61,25,10,40,16,1
50,73,27,10,41,16,1
64,94,25,13,27,15,1
37,59,40,14,22,12,1
24,52,40,9,21,8,1
19,53,40,12,19,10,1
19,41,40,12,20,9,0
18,48,40,7,28,6,0
25,55,40,10,22,11,1
17,44,39,10,21,9,0
31,57,40,13,19,9,1
30,58,40,13,20,8,1
21,50,40,7,16,5,0
33,65,40,12,19,5,1
43,62,40,11,25,9,1
34,57,39,11,26,9,1
42,66,40,11,25,12,1
43,63,40,11,23,13,1
38,66,40,22,21,15,1
37,60,41,10,22,11,1
25,51,39,16,20,13,1
33,63,39,12,24,12,1
21,50,39,10,23,10,0
59,95,40,21,25,12,1
51,83,40,16,24,11,1
42,61,39,9,13,6,1
16,45,39,9,19,4,0
48,75,39,11,23,13,1
59,94,40,13,30,12,1
68,113,39,18,24,14,2
70,126,29,26,15,34,2
23,40,27,5,16,10,0
32,59,28,9,14,17,1
31,52,27,7,13,11,1
23,50,36,6,10,13,0
35,65,38,11,11,42,1
27,55,27,5,20,8,1
36,61,24,9,20,11,1
32,56,24,10,18,17,1
24,35,21,7,22,9,0
44,71,33,25,14,37,1
38,60,41,8,17,17,1
27,52,24,16,14,33,1
32,52,22,10,21,15,1
29,52,22,8,18,12,1
56,92,25,20,16,40,1
49,77,28,8,21,12,1
24,40,28,4,11,7,0
28,52,31,7,13,23,1
24,49,21,7,22,18,0
39,64,27,10,25,24,1
50,77,22,9,22,13,1
37,60,20,12,12,17,1
38,55,20,15,14,28,1
49,67,19,21,17,35,1
51,75,22,18,19,31,1
52,69,20,16,16,30,1
51,73,20,22,15,37,1
57,88,23,23,19,31,1
47,63,21,16,11,19,1
36,50,23,15,10,22,0
45,65,20,20,14,27,1
27,35,19,9,15,21,0
44,58,24,12,13,25,1
37,62,27,13,13,25,1
39,60,23,14,10,19,1
45,70,29,18,13,34,1
55,80,32,13,21,36,1
59,93,25,19,20,45,1
64,102,30,15,25,40,2
60,88,29,14,24,35,1
55,80,28,16,19,31,1
43,55,21,11,18,17,1
38,61,21,13,14,18,1
37,54,23,11,12,16,1
32,53,21,10,9,15,1
25,47,22,9,14,17,0
50,69,23,19,19,28,1
53,71,29,13,18,33,1
54,75,20,15,31,31,1
55,77,19,19,21,37,1
53,69,24,15,14,30,1
43,57,22,13,15,23,1
48,66,45,13,38,18,1
55,61,50,12,53,21,1
59,76,46,19,50,30,1
56,79,45,16,49,28,1
65,81,54,16,59,26,1
71,89,59,23,52,31,1
60,84,29,23,51,27,1
52,65,28,16,41,15,1
51,55,27,13,33,15,1
56,81,42,21,42,26,1
38,50,26,9,43,9,0
51,60,27,12,45,19,1
40,58,29,11,41,16,1
50,62,27,12,37,15,1
51,72,33,15,49,19,1
67,89,41,13,57,25,1
78,107,55,20,53,41,2
78,115,43,14,74,23,2
73,93,39,13,59,26,1
61,94,41,15,56,24,1
47,58,29,11,51,14,1
45,67,30,13,43,17,1
48,55,30,9,44,11,1
33,57,27,11,37,8,1
36,53,29,9,41,13,1
57,77,35,18,53,21,1
62,83,49,12,63,19,1
57,76,43,15,71,18,1
65,88,48,18,67,25,1
53,68,34,13,55,17,1
39,58,30,12,48,18,1
62,97,28,13,21,14,1
54,71,26,13,41,14,1
57,83,27,18,38,20,1
56,77,29,13,28,19,1
54,77,31,11,39,20,1
54,80,27,17,34,18,1
64,93,28,18,31,19,1
53,77,28,11,18,10,1
41,63,30,7,19,10,1
60,89,28,14,25,14,1
29,52,26,7,28,11,1
66,99,29,13,29,15,1
53,72,29,7,23,9,1
52,73,28,10,16,10,1
51,76,28,9,25,10,1
59,88,40,8,41,18,1
71,106,32,11,39,19,2
61,99,35,7,42,18,1
59,87,33,7,39,14,1
65,106,31,12,45,17,2
81,118,27,15,37,16,2
62,93,26,15,36,10,1
51,77,26,9,27,8,1
43,64,26,6,27,8,1
38,62,26,7,28,9,1
55,79,27,13,39,11,1
51,73,30,11,56,19,1
47,63,27,10,43,17,1
51,19,26,14,48,21,1
59,24,29,10,33,20,1
56,22,12,18,32,25,1
56,96,40,13,19,9,1
46,81,39,17,29,14,1
62,103,40,19,33,11,2
51,79,40,14,32,13,1
61,95,40,22,32,13,1
60,102,41,23,34,14,2
58,81,40,16,19,6,1
24,55,41,10,18,8,1
56,89,40,21,21,12,1
28,53,39,9,25,9,1
53,83,41,19,22,13,1
37,69,41,10,20,9,1
40,68,41,16,14,9,1
37,77,42,14,24,12,1
57,101,46,13,37,18,2
68,123,43,20,37,14,2
68,125,45,16,37,22,2
57,91,42,12,42,15,1
55,98,44,12,38,18,1
57,85,41,16,22,17,1
52,78,41,15,20,11,1
38,62,41,8,12,7,1
30,55,40,7,13,9,1
36,68,41,8,19,12,1
52,83,42,17,31,16,1
58,91,43,13,35,20,1
50,75,41,14,37,16,1
54,84,41,18,35,19,1
41,76,42,14,21,25,1
48,69,43,12,25,18,1
29,60,23,7,16,12,1
35,65,23,11,22,17,1
49,79,24,13,20,21,1
43,75,26,14,20,28,1
53,88,25,25,16,42,1
59,103,30,18,22,26,2
45,67,27,12,11,22,1
35,62,31,7,12,16,1
53,91,27,21,17,39,1
35,62,33,6,19,10,1
44,72,27,11,13,21,1
55,92,34,17,18,33,1
54,87,40,11,28,18,1
65,117,31,17,28,32,2
